Code,Groundedness,Density,Groups,Number of Groups,Comment,Creator,Creation Date,Modifier,Modification Date
Generation VS Validation,28,0,FFI Bindings,1,Discussing the benefits or drawbacks of generating foreign bindings versus writing them yourself.,Author 1,8/7/23,Author 1,8/7/23
Idiomatic FFI Encapsulation,5,0,FFI Bindings,1,Attempting to bind and encapsulate foreign functions from one language in a manner that is idiomatic with other languages.,Author 1,9/2/23,Author 1,9/3/23
"If it compiles, it works",3,0,Benefits of Rust,1,"The notion that Rust programs work correctly if they compile, with no other required reasoning or bug-finding necessary for soundness.",Author 1,8/9/23,Author 1,8/10/23
Ignoring Security Issues,1,0,Misc,1,Ignoring potential security vulnerabilities.,Author 1,8/9/23,Author 1,9/5/23
Improper Alignment,3,0,Bug Categories,1,Accessing memory with incorrect alignment.,Author 1,8/6/23,Author 1,8/9/23
Incorrect Linking,1,0,Bug Categories,1,A bug related to the interation or behavior of a linker,Author 1,8/6/23,Author 1,8/9/23
Incorrect Type Casting,1,0,Bug Categories,1,Casting something to a type that's invalid for that data. (likely using transmute),Author 1,8/6/23,Author 1,8/9/23
Increase Performance,35,0,Why unsafe?,1,The user is choosing to use unsafe because they perceive that it would be more performant than safe code. It does not matter if they actually measured performance or not.,Author 1,8/6/23,Author 1,8/7/23
Inline Assembly,6,0,Unsafe Features,1,,Author 1,8/10/23,Author 1,9/5/23
Integer Bounds & Overflow Bugs,2,0,New Bug Categories,1,"Buffer overflow, integer overflow, or off-by-one errors that can't be specifically or easily associated with other categories of pointer errors.",Author 1,9/6/23,Author 1,9/6/23
Integer Overflow,1,0,Bug Categories,1,,Author 1,9/5/23,Author 1,9/5/23
Interacting with hardware,14,0,Unsafe Features,1,Merged from Interacting with hardware and Writing directly to registers,Author 1,8/29/23,Author 1,8/29/23
Intrinsics,4,0,Unsafe Features,1,,Author 1,9/2/23,Author 1,9/5/23
It's not a problem,16,0,Reasoning,1,Merged from We don't have that problem and Not Unsound in Practice,Author 1,9/5/23,Author 1,9/5/23
JNA,2,0,Tools,1,,Author 1,8/9/23,Author 1,9/3/23
Kani,3,0,"Formal Methods, Tools",2,,Author 2,8/16/23,Author 1,10/1/23
Krabcake,3,0,Tools,1,,Author 2,8/20/23,Author 1,9/5/23
Layout,4,0,Types,1,Related to the Layout type.,Author 1,9/2/23,Author 1,9/5/23
Laziness Fights Tooling,3,0,"Experiences with Tooling, Validation",2,This participant chose not to uses development tools because it took too much time to configure them.,Author 1,8/9/23,Author 1,9/5/23
Leveraging the Borrow Checker,2,0,Encapsulation,1,,Author 1,9/2/23,Author 1,9/5/23
libfuzzer,2,0,Tools,1,,Author 1,9/5/23,Author 1,9/5/23
Limitation of Binding Tool,16,0,FFI Bindings,1,"A situation that a binding or encapsulation generation tool can't handle, or a pain point or other issue that occurs when using one.",Author 1,8/10/23,Author 1,8/10/23
Linking Time Optimization (LTO),2,0,Tools,1,,Author 1,8/9/23,Author 1,9/3/23
"Local, Minimal Unsafe",17,0,"Encapsulation, Reasoning",2,Keeping unsafe local and minimal.,Author 1,8/7/23,Author 1,9/3/23
Logical Error,8,0,Bug Categories,1,Incorrect behavior according to a specification for an application or API.,Author 1,8/8/23,Author 1,8/8/23
Low-Level Access,3,0,Benefits of Rust,1,Rust is useful because it provides low-level access to hardware.,Author 1,8/9/23,Author 1,8/10/23
Macros,5,0,Encapsulation,1,Using a macro to encapsulate unsafe.,Author 1,8/8/23,Author 1,8/8/23
ManuallyDrop<T>,8,0,Types,1,Related to the type ManuallyDrop<T>,Author 1,8/7/23,Author 1,8/10/23
Manufacturing,1,0,Domain,1,,Author 1,8/9/23,Author 1,8/10/23
MaybeUninit<T>,13,0,Types,1,Related to the type MaybeUninit<T>,Author 1,8/7/23,Author 1,8/10/23
Memory Leak,2,0,New Bug Categories,1,Leaking memory.,Author 1,9/6/23,Author 1,9/6/23
Memory Leaks,2,0,Bug Categories,1,Forgetting to free memory after it has been allocated.,Author 1,8/6/23,Author 1,8/9/23
Memory Leaks Aren't an Issue,2,0,Validation,1,It's easy to catch memory leaks using dynamic analysis tools.,Author 1,8/8/23,Author 1,9/5/23
Memory Safety,12,0,Benefits of Rust,1,Rust's borrow checker provides strong static guarantees of memory safety.,Author 1,8/8/23,Author 1,8/10/23
Memory Thrashing,0,0,Bug Categories,1,,Author 2,8/26/23,Author 1,9/5/23
Miri doesn't support this feature,13,0,Miri,1,"Miri doesn't support a particular feature, likely inline assembly or FFI.",Author 1,8/6/23,Author 1,8/9/23
Miri found a bug,3,0,Miri,1,Miri discovered a bug in a codebase.,Author 1,9/5/23,Author 1,9/5/23
Miri is slow,7,0,Miri,1,Miri's speed prevents it from being effective.,Author 1,8/6/23,Author 1,8/9/23
Mismatched Bindings or Declarations,4,0,Bug Categories,1,"An FFI binding or intrinsic declaration doesn't quite match the function that's being bound. The signature is wrong in some way, like the arguments are swapped.",Author 1,8/6/23,Author 1,8/9/23
Missed a Bug,2,0,Experiences with Tooling,1,A bug was missed by a development tool.,Author 1,8/9/23,Author 1,9/5/23
MSAN,2,0,Tools,1,,Author 1,9/3/23,Author 1,9/5/23
MSVC,1,0,Tools,1,Microsoft Visual C++,Author 1,8/8/23,Author 1,9/3/23
Multiple / cyclic aliasing,9,0,Unsafe Features,1,"Having multiple mutable references to the same allocation, or having data structures with a cycle of references.",Author 2,8/10/23,Author 1,9/5/23
Mutex<T>,4,0,Types,1,Related to the type Mutex<T>,Author 1,8/10/23,Author 1,9/5/23
Networking & Distributed Systems,3,0,Domain,1,Merged from End to End Messaging and Networking & Distributed Systems,Author 1,9/6/23,Author 1,9/6/23
No Docs > Incorrect Docs,3,0,Documentation,1,The belief that no documentation is better than incorrect documentation.,Author 1,8/6/23,Author 1,8/7/23
No Other Choice,50,0,Why unsafe?,1,When there is no safe option or existing encapsulation to accomplish something.,Author 1,9/2/23,Author 1,9/2/23
No Unsafe,1,0,Misc,1,Writing Rust code without using any unsafe.,Author 1,8/8/23,Author 1,8/9/23
Off-by-one,1,0,Bug Categories,1,,Author 1,8/10/23,Author 1,9/5/23
OnceCell<T>,1,0,Types,1,Related to the type OnceCell<T>,Author 1,8/7/23,Author 1,8/10/23
Opaque Pointer,4,0,FFI Memory Model,1,"Use of an opaque pointer to a C type in Rust, or vice versa.",Author 1,8/9/23,Author 1,8/10/23
Operating & Embedded Systems,10,0,Domain,1,Merged from Embedded Systems and Operating Systems,Author 1,9/6/23,Author 1,9/6/23
Option<T>,4,0,Types,1,Related to the type Option<T>,Author 1,8/9/23,Author 1,8/10/23
Panic Safety,2,0,Reasoning,1,Taking account of panic safety in an application.,Author 1,8/8/23,Author 1,8/10/23
Performance is Necessary,4,0,,0,,Author 1,9/20/23,Author 1,9/20/23
Personal Tools & Toy Projects,3,0,Domain,1,Merged from Server-Side Programming and CLI Tools,Author 1,9/6/23,Author 1,9/6/23
Pin<T>,3,0,Types,1,Related to the type Pin<T>,Author 1,8/9/23,Author 1,9/5/23
Pointer Arithmetic,8,0,Unsafe Features,1,Calculating a new pointer using integer offsets or subtraction between two pointers.,Author 1,8/9/23,Author 1,9/5/23
Pointer errors,1,0,Bug Categories,1,,Author 1,9/5/23,Author 1,9/5/23
Preference for Safety,28,0,Community & Culture,1,Preference for using safe code or APIs unless there's no other option.,Author 1,9/5/23,Author 1,9/5/23
Printf-Style Debugging,4,0,Validation,1,Using printf statements to debug code,Author 1,8/9/23,Author 1,9/3/23
Profiling,5,0,Validation,1,Running profiling tools to measure the performance impact of a design decision or change.,Author 1,8/7/23,Author 1,8/7/23
Prusti,2,0,"Formal Methods, Tools",2,,Author 2,8/16/23,Author 1,10/1/23
PyO3,3,0,Tools,1,,Author 2,8/23/23,Author 1,9/5/23
RefCell<T>,10,0,Types,1,Related to the type RefCell<T>,Author 1,8/7/23,Author 1,8/10/23
Requirements Bug,10,0,New Bug Categories,1,Bugs involving mismatched or unsatisfied functional requirements for a component of an application.,Author 1,9/6/23,Author 1,9/6/23
Return Pointers,3,0,FFI Memory Model,1,Passing a pointer to uninitialized memory across an FFI boundary with the expectation that it will be initialized upon return.,Author 1,8/9/23,Author 1,9/5/23
Rewrite it in Rust,4,0,Misc,1,This participant rewrote a legacy codebase in Rust.,Author 1,8/9/23,Author 1,9/5/23
Running tests through Miri,12,0,Miri,1,"Running the test case of a project through Miri, either as a practice or recommendation.",Author 1,8/9/23,Author 1,9/5/23
Runtime Assertion,10,0,"Encapsulation, Validation",2,Merged from Assertion and Assertion in Encapsulation or API,Author 2,8/29/23,Author 1,9/5/23
Rust Bindings for a C Library,1,0,Domain,1,,Author 1,8/9/23,Author 1,8/10/23
Rust Has Great Tooling,3,0,Benefits of Rust,1,Merged from Rust's Tooling is Great and Dependency Management,Author 1,8/9/23,Author 1,9/5/23
Rust is ergonomic,6,0,Benefits of Rust,1,"Rust code is aesthetically ""cleaner"" or more ergonomic than other languages.",Author 1,9/5/23,Author 1,9/5/23
Rust Performs Well,8,0,Benefits of Rust,1,Choosing Rust for its performance characteristics.,Author 1,8/7/23,Author 1,8/7/23
Rust Project Contributor,4,0,Domain,1,Merged from Rust Standard Library and Rust Compiler,Author 1,9/6/23,Author 1,9/6/23
Rust Rewrite is Incomplete,2,0,Validation,1,Merged from Auditing Dependencies and Feature Incompleteness,Author 1,9/3/23,Author 1,9/5/23
rust-bindgen,2,0,Tools,1,,Author 2,8/19/23,Author 1,9/5/23
RwLock<T>,4,0,Types,1,Related to the type RwLock<T>,Author 1,8/10/23,Author 1,8/10/23
Safe Rust is Safe,3,0,Community & Culture,1,,Author 2,8/23/23,Author 1,9/5/23
safer-ffi,1,0,Tools,1,,Author 1,9/5/23,Author 1,9/5/23
Security Vulnerability,1,0,Bug Categories,1,,Author 1,8/10/23,Author 1,9/5/23
Send,1,0,Types,1,Related to the type Send,Author 1,9/2/23,Author 1,9/5/23
Shared Experiences,8,0,C++ vs. Rust,1,"A problem, feature, or property that is shared between Rust and C++",Author 1,8/8/23,Author 1,9/5/23
Shifting Ground,37,0,Community & Culture,1,"Expressing uncertainty about Rust's semantics, or describing how they are either changing or unclear.",Author 1,8/6/23,Author 1,8/6/23
SIMD Intrinsics,3,0,Unsafe Features,1,,Author 1,8/8/23,Author 1,9/5/23
Simple FFI,24,0,FFI Memory Model,1,"Having a simple API makes working with foreign code in Rust safer and easier. For example, being given a buffer and a length, or only passing data by raw pointers.",Author 1,8/6/23,Author 1,8/10/23
Stacked Borrows is too strict,3,0,Miri,1,"Code that ""should"" be defined behavior is considered incorrect by Stacked Borrows.",Author 1,8/9/23,Author 1,9/5/23
Stacked/Tree Borrows Violation,7,0,Bug Categories,1,,Author 1,8/9/23,Author 1,8/10/23
Static Variables,6,0,Unsafe Features,1,Merged from Static Variables and Global Variables,Author 1,9/5/23,Author 1,9/5/23
Stigma Against Unsafe,10,0,Community & Culture,1,"The notion that using unsafe is viewed negatively by the Rust community, or any negative opinion toward unsafe.",Author 1,8/6/23,Author 1,8/6/23
Sync,1,0,Types,1,Related to the type Sync.,Author 1,9/2/23,Author 1,9/5/23
System Calls,3,0,Unsafe Features,1,Merged from UEFI System Calls and System Calls,Author 1,9/5/23,Author 1,9/5/23
Tacit Knowledge,23,0,Reasoning,1,"Justifying a decision based on prior experience, intuition, or assumptions, not by data. This includes choosing to implement something for performance without doing any benchmarking, or justifying use of unsafe due to prior experience writing C++.",Author 1,8/6/23,Author 1,8/7/23
Temporal Memory Bug,3,0,New Bug Categories,1,Use-after-free errors or use-after-invalidation errors that don't specifically involve stacked or tree borrows semantics.,Author 1,9/6/23,Author 1,9/6/23
Transmute,12,0,Unsafe Features,1,,Author 1,8/9/23,Author 1,9/5/23
UBSAN,1,0,Tools,1,,Author 1,9/5/23,Author 1,9/5/23
Unaware of Tools,2,0,Experiences with Tooling,1,This participant was unaware of a tool's existence.,Author 1,9/2/23,Author 1,9/5/23
Undefined Behavior,4,0,Bug Categories,1,"Behavior considered undefined by Rust or LLVM, which the compiler can modify during optimization.",Author 1,8/6/23,Author 1,8/9/23
Uniffi,2,0,Tools,1,,Author 1,9/2/23,Author 1,9/5/23
Uninitialized memory,2,0,"New Bug Categories, Unsafe Features",2,Using memory that is uninitialized.,Author 2,8/28/23,Author 1,9/6/23
Unsafe Data Structure,22,0,Misc,1,Something we can minimally implement for future verification work.,Author 1,8/7/23,Author 1,8/7/23
Unsafe is Difficult to Understand,17,0,Reasoning,1,Any mention of unsafe being difficult to understand.,Author 1,8/6/23,Author 1,8/7/23
UnsafeCell<T>,26,0,Types,1,Related to the type UnsafeCell<T>,Author 1,8/7/23,Author 1,8/10/23
Unwinding Across FFI Boundaries,1,0,Bug Categories,1,"Unwinding stack frames across FFI boundaries. For example, panicking in a rust function that was called by a C function, which is called by a Rust function, may be undefined behavior.",Author 1,8/6/23,Author 1,8/9/23
Use After Free,1,0,Bug Categories,1,Dereferencing a pointer to freed memory.,Author 1,8/6/23,Author 1,8/9/23
Using Uninitialized Memory,2,0,Bug Categories,1,Using uninitialized memory,Author 1,8/6/23,Author 1,8/9/23
Valgrind,6,0,Tools,1,,Author 2,8/20/23,Author 1,9/5/23
Volatile Intrinsics,4,0,Unsafe Features,1,,Author 1,8/9/23,Author 1,9/5/23
Wants Solution,33,0,Misc,1,Desiring a particular solution.,Author 1,8/6/23,Author 1,8/7/23
WASI,1,0,Tools,1,,Author 2,8/19/23,Author 1,9/5/23
wasm-bindgen,5,0,Tools,1,,Author 1,8/9/23,Author 1,9/3/23
Weak<T>,1,0,Types,1,"Related to the type Weak<T>, or a ""weak reference""",Author 2,8/18/23,Author 1,9/5/23
Web Application Development,6,0,Domain,1,"Developing web applications, likely by compiling Rust to WASM.",Author 1,8/6/23,Author 1,8/7/23
Web Browser Development,2,0,Domain,1,"Developing a web browser using Rust, likely Firefox.",Author 1,8/6/23,Author 1,8/7/23
When to Encapsulate?,6,0,Encapsulation,1,Advice or policy on when and how to create a safe encapsulation around unsafe code.,Author 1,8/9/23,Author 1,8/29/23
Windows,1,0,Domain,1,"Related to Windows development, use of the WinAPI",Author 1,8/6/23,Author 1,8/7/23
windows-bindgen,1,0,Tools,1,,Author 1,9/5/23,Author 1,9/5/23
Worked Around Miri's Limitations,2,0,Miri,1,Merged from Mocks and Worked Around Miri's Limitations,Author 1,8/10/23,Author 1,9/5/23
Writing beyond a boundary,1,0,Unsafe Features,1,,Author 2,9/8/23,Author 2,9/8/23
Zero-Sized Allocation,2,0,Bug Categories,1,"Allocating something of zero size, which can be undefined behavior depending on your malloc",Author 1,8/6/23,Author 1,8/9/23
